transition_id,ticker
4158,DTV
3553,ANDV
4579,CELG
3017,STR
3477,TE
4804,ODP
3252,SIAL
5656,CEPH
8578,MEE
7253,SNDK
10384,CFN
2007,SHLD
8253,RAI
7261,LXK
8879,HSP
6275,CPWR
1497,TGNA
125,BEAM
3174,SCG
3426,SUN
2784,PLL
1242,EP
319,AVP
4082,APC
4391,ARG
3800,VAR
7402,DF
7534,SRCL
3201,SEE
9327,MJN
3152,SWY
6533,FLIR
6570,PETM
2236,MRO
8288,JNPR
8633,COL
5662,X
1458,FRX
4396,JOY
9425,WPX
9146,TWC
3034,RTN
8254,RAI
434,BMS
2589,NBL
8289,JNPR
4393,KFT
3157,STJ
3839,WBA
4597,TIF
7347,ALXN
8476,FTR
7136,CAM
7298,CTXS
3320,SWN
4580,CELG
6129,ESRX
4973,SPLS
2023,KSU
9043,VIAB
9126,HBI
4735,PXD
7348,ALXN
8255,RAI
4598,TIF
1498,TGNA
6237,PDCO
6534,FLIR
7299,CTXS
4371,CERN
7139,DISH
8041,LLL
3175,SCG
3202,SEE
5487,XLNX
4736,PXD
1731,HFC
9127,HBI
3840,WBA
